h,fullname,last_obs_jd,last_obs,ts_max,ps_max,n_imp,ps_cum,des,v_inf,diameter,range,id,ip
24.39,(2022 VE1),2459909.5,2022-11-26,0,-5.11,15,-4.63,2022 VE1,17.1459185716599,0.045,2068-2118,bK22V01E,1.2326028e-05
25.33,(2010 XU),2455544.5,2010-12-14,0,-7.69,5,-7.56,2010 XU,6.21229659875168,0.029,2054-2088,bK10X00U,4.36428e-08
26.75,(2016 VH),2457721.5,2016-11-29,0,-10.55,1,-10.55,2016 VH,4.79,0.015,2115-2115,bK16V00H,5.633e-10
26.81,(2014 SR261),2456933.5,2014-10-03,0,-6.48,15,-6.27,2014 SR261,15.2486059702363,0.015,2058-2117,bK14SQ1R,3.0141487e-06
26.35,(2008 YV32),2454840.5,2009-01-09,0,-6.58,26,-6.09,2008 YV32,8.79863224563553,0.018,2077-2122,bK08Y32V,6.4383293e-06
30.51,(2022 CB3),2459617.5,2022-02-07,0,-9.04,15,-8.45,2022 CB3,16.7982662684457,0.0027,2083-2120,bK22C03B,1.482594e-06
28.13,(2022 CL3),2459620.5,2022-02-10,0,-7.69,1,-7.69,2022 CL3,8.74,0.008,2093-2093,bK22C03L,1.110e-06
31.36,(2008 US),2454760.5,2008-10-21,0,-8.77,2,-8.66,2008 US,18.9124162257496,0.0018,2040-2044,bK08U00S,5.67e-07
25.56,(2009 RR),2455089.5,2009-09-15,0,-6.28,58,-5.49,2009 RR,12.9536691131686,0.026,2098-2120,bK09R00R,9.2927101e-06
27.31,(2011 EU20),2455631.5,2011-03-11,0,-9.74,1,-9.74,2011 EU20,9.13,0.012,2088-2088,bK11E20U,3.661e-09
20.44,(2011 KF36),2455713.5,2011-06-01,0,-5.69,4,-5.43,2011 KF36,22.145703576783,0.275,2026-2031,bK11K36F,4.669e-10
27.80,(2011 SM173),2455834.5,2011-09-30,0,-5.42,14,-5.38,2011 SM173,14.2487095542237,0.0093,2058-2120,bK11SH3M,5.6011071e-05
27.71,(2017 EJ1),2457821.5,2017-03-09,0,-11.06,1,-11.06,2017 EJ1,9.50,0.0097,2120-2120,bK17E01J,3.988e-10
24.58,(2018 HJ2),2458261.5,2018-05-23,0,-6.90,2,-6.82,2018 HJ2,8.39239487851011,0.041,2085-2114,bK18H02J,2.0619e-07
28.52,(2019 HN4),2458606.5,2019-05-03,0,-9.38,1,-9.38,2019 HN4,5.57,0.0067,2099-2099,bK19H04N,4.695e-08
24.80,(2019 QS),2458723.5,2019-08-28,0,-6.35,2,-6.35,2019 QS,21.5892883201622,0.037,2096-2108,bK19Q00S,2.72187e-07
28.59,(2020 FU2),2458932.5,2020-03-24,0,-8.13,7,-7.91,2020 FU2,12.8792532455761,0.00649,2092-2115,bK20F02U,9.129119e-07
27.98,(2020 PC),2459068.5,2020-08-07,0,-6.65,72,-6.22,2020 PC,1.4547902747192,0.0086,2069-2122,bK20P00C,3.7154629e-05
28.94,(2019 UB8),2458784.5,2019-10-28,0,-7.77,27,-7.29,2019 UB8,10.3371070542062,0.0055,2053-2118,bK19U08B,4.879089e-06
32.12,(2019 UN13),2458787.5,2019-10-31,0,-10.22,4,-9.76,2019 UN13,10.179698801331,0.0013,2107-2111,bK19U13N,8.942669e-07
26.03,(2020 DK),2458900.5,2020-02-21,0,-6.32,34,-5.54,2020 DK,10.4503239071627,0.021,2089-2122,bK20D00K,1.565146e-05
30.21,(2021 DG),2459263.5,2021-02-18,0,-6.34,9,-6.15,2021 DG,12.9046360658916,0.0031,2044-2072,bK21D00G,0.000169320156
29.16,(2021 DA2),2459275.5,2021-03-02,0,-6.84,76,-6.26,2021 DA2,6.92146372637218,0.005,2064-2122,bK21D02A,9.6788582e-05
23.32,(2007 VH189),2454424.5,2007-11-20,0,-6.97,2,-6.94,2007 VH189,18.393669527897,0.073,2042-2042,bK07VI9H,3.9144e-09
27.32,(2024 XC17),2460657.5,2024-12-13,0,-8.48,14,-8.02,2024 XC17,4.13550554125936,0.012,2070-2122,bK24X17C,2.705071e-07
28.05,(2008 CM74),2454511.5,2008-02-15,0,-8.06,24,-7.42,2008 CM74,4.07487636213547,0.0083,2069-2115,bK08C74M,2.444599e-06
25.31,(2008 JL3),2454595.5,2008-05-09,0,-2.69,44,-2.68,2008 JL3,8.41901237821941,0.029,2027-2122,bK08J03L,0.0001658147615
25.49,(2008 JQ),2454601.5,2008-05-15,0,-7.74,1,-7.74,2008 JQ,7.56,0.027,2101-2101,bK08J00Q,6.549e-08
26.09,(2009 HW67),2454952.5,2009-05-01,0,-6.08,11,-5.69,2009 HW67,22.6244092987469,0.02,2046-2079,bK09H67W,2.833285e-06
28.61,(2020 HN),2458961.5,2020-04-22,0,-6.64,38,-6.35,2020 HN,3.44028641670312,0.0064,2055-2123,bK20H00N,3.1802824e-05
26.85,(2023 TH),2460243.5,2023-10-26,0,-8.16,2,-8.07,2023 TH,8.15,0.014,2108-2108,bK23T00H,1.4502e-07
27.20,(2020 HW7),2458969.5,2020-04-30,0,-6.79,8,-6.71,2020 HW7,8.74446278863597,0.012,2044-2121,bK20H07W,1.561136e-06
27.77,(2006 GU2),2453834.5,2006-04-09,0,-7.20,91,-6.33,2006 GU2,7.30957092814698,0.00949,2073-2121,bK06G02U,1.97315926e-05
29.37,(2022 GA2),2459675.5,2022-04-06,0,-6.50,124,-6.01,2022 GA2,7.88267720824247,0.0045,2049-2116,bK22G02A,0.0001399012027
29.89,(2017 GM),2457847.5,2017-04-04,0,-9.82,2,-9.64,2017 GM,16.1853186227887,0.0036,2080-2121,bK17G00M,5.257e-08
29.09,(2017 JB2),2457902.5,2017-05-29,0,-8.65,11,-7.93,2017 JB2,2.92410366980033,0.00517,2099-2122,bK17J02B,3.39964e-06
28.39,(2020 VV6),2459172.5,2020-11-19,0,-7.55,11,-7.41,2020 VV6,13.3935158247781,0.0071,2060-2122,bK20V06V,1.486024e-06
28.17,(2021 GR),2459318.5,2021-04-14,0,-7.51,20,-7.02,2021 GR,7.05363043004965,0.0079,2077-2121,bK21G00R,6.61412e-06
26.04,(2002 AN129),2452289.5,2002-01-15,0,-7.50,2,-7.43,2002 AN129,11.4856520567631,0.021,2064-2111,bK02AC9N,1.1134e-07
27.28,(2022 CA1),2459645.5,2022-03-07,0,-6.54,17,-6.16,2022 CA1,3.78033905840398,0.012,2055-2122,bK22C01A,2.25433492e-05
27.66,(2016 CD30),2457429.5,2016-02-11,0,-5.54,5,-5.51,2016 CD30,10.5315599458023,0.0099,2056-2105,bK16C30D,5.82148302e-05
24.47,(2016 CY135),2457608.5,2016-08-08,0,-6.29,6,-5.85,2016 CY135,6.74286032489329,0.043,2103-2119,bK16CD5Y,1.93048e-06
26.56,(2019 KT),2458630.5,2019-05-27,0,-7.80,2,-7.71,2019 KT,11.7180418111146,0.017,2110-2110,bK19K00T,1.9038e-07
25.77,(2017 RU2),2458017.5,2017-09-21,0,-6.85,3,-6.85,2017 RU2,7.73014967358903,0.024,2093-2114,bK17R02U,6.046825e-07
27.86,(2017 WY27),2458085.5,2017-11-28,0,-7.95,31,-7.26,2017 WY27,8.09835665000518,0.0091,2064-2122,bK17W27Y,2.6027085e-06
29.97,(2017 YD1),2458117.5,2017-12-30,0,-8.55,4,-8.44,2017 YD1,2.66760217341109,0.0034,2102-2121,bK17Y01D,2.5443875e-06
28.53,(2010 UY7),2455506.5,2010-11-06,0,-6.13,101,-5.68,2010 UY7,3.86757417069801,0.0067,2066-2121,bK10U07Y,0.000243524707
25.28,(2011 QF48),2455825.5,2011-09-21,0,-6.45,2,-6.32,2011 QF48,19.9176755538866,0.03,2067-2067,bK11Q48F,3.1956e-07
25.25,(2013 TX68),2456574.5,2013-10-09,0,-6.27,5,-6.24,2013 TX68,14.3075181965804,0.03,2027-2108,bK13T68X,5.2345e-08
28.24,(2014 EC),2456722.5,2014-03-06,0,-9.74,1,-9.74,2014 EC,15.77,0.0076,2119-2119,bK14E00C,9.329e-09
28.51,(2014 LJ),2456838.5,2014-06-30,0,-7.81,177,-6.65,2014 LJ,3.61638147161128,0.0067,2060-2122,bK14L00J,2.54443647e-05
26.35,(2016 JA6),2457527.5,2016-05-19,0,-6.45,15,-6.18,2016 JA6,11.3372469335951,0.018,2081-2118,bK16J06A,4.886504e-06
25.11,(2004 FY3),2453094.5,2004-03-30,0,-6.69,5,-6.45,2004 FY3,11.7839471458232,0.032,2116-2122,bK04F03Y,7.8026e-07
26.24,(2017 QJ2),2457985.5,2017-08-20,0,-8.42,2,-8.41,2017 QJ2,19.2209973045822,0.019,2033-2045,bK17Q02J,1.5582e-09
28.35,(2017 QU34),2457996.5,2017-08-31,0,-6.79,15,-6.55,2017 QU34,14.4849389712147,0.0072,2083-2114,bK17Q34U,1.1975988e-05
26.19,(2018 GG4),2458232.5,2018-04-24,0,-7.17,2,-6.99,2018 GG4,16.6459783931092,0.02,2058-2070,bK18G04G,2.0549e-07
28.00,(2009 YR),2455190.5,2009-12-25,0,-6.84,17,-6.51,2009 YR,3.11571090222075,0.0085,2060-2114,bK09Y00R,1.2249807e-05
26.17,(2021 PA15),2459472.5,2021-09-15,0,-7.19,1,-7.19,2021 PA15,8.95,0.02,2114-2114,bK21P15A,5.214e-07
26.04,(2010 KV7),2455336.5,2010-05-20,0,-4.99,139,-4.70,2010 KV7,5.36935408173157,0.021,2034-2122,bK10K07V,4.06682831e-05
26.42,(2021 LC4),2459377.5,2021-06-12,0,-7.26,2,-7.26,2021 LC4,15.249467162239,0.018,2112-2122,bK21L04C,4.10031e-07
29.47,(2022 YC),2459930.5,2022-12-17,0,-7.94,52,-7.35,2022 YC,4.80522605598986,0.0043,2056-2121,bK22Y00C,1.12020323e-05
25.25,(2021 EZ3),2459339.5,2021-05-05,0,-7.90,1,-7.90,2021 EZ3,8.33,0.03,2111-2111,bK21E03Z,3.736e-08
28.39,(2010 RF12),2459815.5,2022-08-24,0,-2.97,70,-2.97,2010 RF12,5.10001588137266,0.0071,2095-2122,bK10R12F,0.102637259069
26.26,(2010 XN69),2455546.5,2010-12-16,0,-6.09,114,-5.22,2010 XN69,7.30211201362035,0.019,2039-2122,bK10X69N,3.17590717e-05
26.84,(2012 MF7),2456130.5,2012-07-22,0,-4.47,19,-4.43,2012 MF7,8.70117483784859,0.015,2046-2104,bK12M07F,0.0001607253471
27.73,(2013 PG10),2456515.5,2013-08-11,0,-6.56,33,-6.43,2013 PG10,6.8654019689795,0.0096,2056-2122,bK13P10G,9.515386e-06
28.30,(2015 KG158),2457166.5,2015-05-24,0,-5.36,87,-5.22,2015 KG158,7.6931042791318,0.0074,2045-2122,bK15KF8G,0.0003255604023
26.39,(2015 KH160),2457169.5,2015-05-27,0,-7.88,6,-7.72,2015 KH160,29.8876727463744,0.018,2087-2117,bK15KG0H,4.03583e-08
27.51,(2016 CO248),2457457.5,2016-03-10,0,-9.52,1,-9.52,2016 CO248,5.07,0.011,2086-2086,bK16CO8O,9.452e-09
27.25,(2016 TQ54),2457671.5,2016-10-10,0,-7.50,10,-7.12,2016 TQ54,9.00024891979062,0.012,2082-2120,bK16T54Q,1.8043724e-06
27.84,(2012 XL134),2456275.5,2012-12-14,0,-10.62,1,-10.62,2012 XL134,8.66,0.0092,2089-2089,bK12XD4L,8.957e-10
27.10,(2000 SZ162),2451824.5,2000-10-07,0,-7.32,9,-6.94,2000 SZ162,4.14677388674278,0.013,2070-2120,bK00SG2Z,2.21849e-06
25.74,(2014 CR13),2456726.5,2014-03-10,0,-4.73,25,-4.62,2014 CR13,12.2904047063975,0.024,2102-2117,bK14C13R,8.732454e-05
26.52,(2024 WS),2460645.5,2024-12-01,0,-6.43,7,-6.40,2024 WS,10.9801869690544,0.017,2099-2120,bK24W00S,3.570163e-06
27.69,(2021 EJ3),2459290.5,2021-03-17,0,-5.35,156,-4.93,2021 EJ3,2.1557250139037,0.0098,2078-2122,bK21E03J,0.0006464105
24.66,(2008 BE15),2454499.5,2008-02-03,0,-8.98,1,-8.98,2008 BE15,18.05,0.04,2102-2102,bK08B15E,7.201e-10
26.64,(2010 FN),2455276.5,2010-03-21,0,-6.95,17,-6.46,2010 FN,6.79707305834858,0.016,2078-2120,bK10F00N,4.1495682e-06
26.85,(2010 UK),2455501.5,2010-11-01,0,-4.19,48,-4.18,2010 UK,6.08212531297863,0.014,2068-2121,bK10U00K,0.0006709082165
28.68,(2020 AW),2458854.5,2020-01-06,0,-6.54,265,-5.78,2020 AW,4.54885164112609,0.0062,2061-2122,bK20A00W,0.0001972727787
27.20,(2020 AR1),2458856.5,2020-01-08,0,-7.79,3,-7.74,2020 AR1,9.13081482557146,0.012,2096-2121,bK20A01R,4.68272e-07
27.34,(2020 KC5),2458999.5,2020-05-30,0,-5.79,3,-5.79,2020 KC5,8.96002776376675,0.012,2092-2104,bK20K05C,3.6235357e-05
25.79,(2020 KS),2459029.5,2020-06-29,0,-7.80,1,-7.80,2020 KS,7.06,0.024,2095-2095,bK20K00S,7.452e-08
27.07,(2020 SX6),2459146.5,2020-10-24,0,-7.49,17,-7.07,2020 SX6,4.02791060187244,0.013,2095-2118,bK20S06X,2.453161e-06
28.12,(2018 PU23),2458349.5,2018-08-19,0,-7.31,45,-6.69,2018 PU23,1.78314803871588,0.008,2070-2122,bK18P23U,1.4429016e-05
30.85,(2018 VP1),2458438.5,2018-11-16,0,-8.73,15,-8.19,2018 VP1,9.53262840475879,0.0023,2027-2118,bK18V01P,4.759111e-07
27.53,(2019 ED1),2458556.5,2019-03-14,0,-6.74,8,-6.26,2019 ED1,9.41919065399534,0.011,2070-2103,bK19E01D,1.297838e-05
25.31,(2009 OW6),2455052.5,2009-08-09,0,-5.35,15,-5.13,2009 OW6,6.64674621752316,0.029,2077-2121,bK09O06W,2.0794245e-05
24.83,(2010 UB),2455491.5,2010-10-22,0,-5.66,4,-5.51,2010 UB,7.99140107125467,0.037,2116-2119,bK10U00B,6.161e-06
26.77,(2009 WP6),2455155.5,2009-11-20,0,-5.17,46,-4.91,2009 WP6,25.3406183325716,0.015,2072-2120,bK09W06P,4.11566286e-05
29.28,(2009 XR1),2455176.5,2009-12-11,0,-9.31,18,-9.01,2009 XR1,6.0295880998377,0.00471,2049-2116,bK09X01R,1.321024e-07
28.52,(2012 WR10),2456279.5,2012-12-18,0,-8.36,14,-7.85,2012 WR10,2.72926480959929,0.0067,2081-2119,bK12W10R,1.695792e-06
28.73,(2017 BG92),2457788.5,2017-02-04,0,-6.90,16,-6.78,2017 BG92,5.3344301921337,0.0061,2072-2120,bK17B92G,1.5651653e-05
28.54,(2017 CY32),2457785.5,2017-02-01,0,-10.19,4,-10.09,2017 CY32,18.0772798993826,0.00661,2090-2110,bK17C32Y,4.373e-09
25.10,(2013 BR15),2456310.5,2013-01-18,0,-7.05,3,-6.95,2013 BR15,14.0824842328926,0.032,2100-2110,bK13B15R,1.62839e-07
27.62,(2021 JW2),2459373.5,2021-06-08,0,-6.32,216,-5.48,2021 JW2,4.89238510136607,0.01,2046-2122,bK21J02W,0.0001050810274
25.66,(2020 CE1),2458906.5,2020-02-27,0,-7.09,1,-7.09,2020 CE1,14.56,0.025,2121-2121,bK20C01E,2.681e-07
30.34,(2020 DW),2458898.5,2020-02-19,0,-8.34,3,-8.26,2020 DW,3.78351222025785,0.0029,2108-2121,bK20D00W,5.76379e-06
26.80,(2018 XR4),2458467.5,2018-12-15,0,-6.54,8,-6.33,2018 XR4,11.7998276597565,0.015,2062-2117,bK18X04R,3.460016e-06
26.73,(2006 DM63),2453794.5,2006-02-28,0,-4.20,46,-3.95,2006 DM63,10.3663089172349,0.015,2031-2122,bK06D63M,0.0001422170421
27.68,(2016 SU2),2457664.5,2016-10-03,0,-7.29,11,-6.87,2016 SU2,12.7283721043152,0.0098,2102-2120,bK16S02U,4.32497e-06
28.73,(2016 WF7),2457723.5,2016-12-01,0,-8.04,8,-7.74,2016 WF7,6.54448892941808,0.0061,2087-2120,bK16W07F,2.916965e-06
24.86,(2009 TH8),2455122.5,2009-10-18,0,-5.13,4,-5.07,2009 TH8,13.028912491325,0.036,2097-2100,bK09T08H,9.78383e-06
27.36,(2009 TU),2455122.5,2009-10-18,0,-6.44,13,-5.89,2009 TU,15.150014948748,0.011,2086-2120,bK09T00U,1.86409591e-05
29.55,(2009 VT1),2455146.5,2009-11-11,0,-7.71,24,-7.51,2009 VT1,6.95973291017575,0.0042,2046-2121,bK09V01T,4.25531e-06
27.92,(2010 RM80),2455458.5,2010-09-19,0,-7.36,36,-6.78,2010 RM80,5.36628438498694,0.0088,2102-2124,bK10R80M,1.17333184e-05
26.38,(2018 LD1),2458282.5,2018-06-13,0,-6.93,7,-6.90,2018 LD1,10.8856905138755,0.018,2100-2121,bK18L01D,1.180208e-06
26.51,(2015 FF36),2457107.5,2015-03-26,0,-6.90,10,-6.62,2015 FF36,8.86651974651785,0.017,2073-2117,bK15F36F,2.1367185e-06
28.46,(2012 DJ54),2456001.5,2012-03-15,0,-5.83,115,-5.44,2012 DJ54,5.42760910471794,0.0069,2068-2122,bK12D54J,0.000324815422
28.05,(2022 DO2),2459645.5,2022-03-07,0,-7.69,3,-7.65,2022 DO2,8.7698361594547,0.0083,2107-2116,bK22D02O,1.43188e-06
29.13,(2017 TB),2458031.5,2017-10-05,0,-7.18,148,-6.53,2017 TB,5.78474931842857,0.0051,2046-2122,bK17T00B,5.2458918e-05
26.36,(2024 FY1),2460414.5,2024-04-14,0,-8.00,4,-7.62,2024 FY1,10.3771171218213,0.018,2091-2114,bK24F01Y,1.9151e-07
28.59,(2024 GV3),2460412.5,2024-04-12,0,-9.61,1,-9.61,2024 GV3,10.84,0.0065,2082-2082,bK24G03V,1.609e-08
30.26,(2024 GZ5),2460415.5,2024-04-15,0,-6.58,9,-6.42,2024 GZ5,3.69596229192903,0.003,2112-2124,bK24G05Z,0.00037913687
27.12,(2017 UQ6),2458070.5,2017-11-13,0,-8.05,6,-7.88,2017 UQ6,3.02656747989789,0.013,2087-2104,bK17U06Q,3.177776e-07
28.08,(2017 WT28),2458103.5,2017-12-16,0,-3.85,113,-3.83,2017 WT28,4.47011685866956,0.0082,2083-2121,bK17W28T,0.011543968326
30.98,(2024 FQ5),2460400.5,2024-03-31,0,-8.72,5,-8.49,2024 FQ5,6.95548903922349,0.0022,2088-2121,bK24F05Q,5.7797e-06
24.88,(2006 XV4),2454096.5,2006-12-27,0,-7.31,3,-7.07,2006 XV4,9.19167900355872,0.036,2101-2120,bK06X04V,1.405e-07
25.21,(2008 YO2),2454822.5,2008-12-22,0,-5.41,56,-4.84,2008 YO2,16.4650870027364,0.0309,2052-2120,bK08Y02O,2.06610398e-05
26.35,(2005 UA1),2453685.5,2005-11-11,0,-6.99,2,-6.99,2005 UA1,14.6798518507914,0.018,2036-2048,bK05U01A,8.38209e-08
26.31,(2006 AU3),2453745.5,2006-01-10,0,-7.36,4,-7.30,2006 AU3,7.37176622018422,0.019,2078-2109,bK06A03U,4.47498e-07
28.34,(2006 DO62),2453790.5,2006-02-24,0,-7.58,10,-7.28,2006 DO62,10.8393890621406,0.0073,2053-2088,bK06D62O,1.7440268e-06
24.20,(2004 RV164),2453286.5,2004-10-08,0,-7.42,1,-7.42,2004 RV164,7.95,0.049,2111-2111,bK04RG4V,3.616e-08
27.29,(2005 BS1),2453389.5,2005-01-19,0,-6.74,1,-6.74,2005 BS1,12.36,0.012,2041-2041,bK05B01S,6.744e-07
27.18,(2008 XK),2454802.5,2008-12-02,0,-9.08,4,-8.92,2008 XK,17.1980848063182,0.0125,2050-2092,bK08X00K,6.3816e-09
27.12,(2022 GE),2459678.5,2022-04-09,0,-7.25,9,-7.09,2022 GE,12.1971413742474,0.013,2092-2120,bK22G00E,1.317885e-06
28.34,(2022 FP2),2459672.5,2022-04-03,0,-5.95,42,-5.82,2022 FP2,4.88198158678875,0.0073,2054-2121,bK22F02P,6.8841224e-05
29.29,(2022 CU4),2459636.5,2022-02-26,0,-7.45,102,-6.65,2022 CU4,4.42353258120352,0.0047,2081-2122,bK22C04U,6.97468434e-05
28.75,(2022 JM),2459708.5,2022-05-09,0,-7.88,16,-7.24,2022 JM,4.64259525652452,0.006,2092-2122,bK22J00M,9.569397e-06
29.01,(2022 ED),2459645.5,2022-03-07,0,-8.86,5,-8.43,2022 ED,4.85822537942756,0.0053,2115-2119,bK22E00D,9.1783e-07
